Activity,Start Date,Duration,Decimal
CA-146 Cadastro de AD (Active Directory),2024-08-29,01:00:00,1.0
CA-146 Cadastro de AD (Active Directory),2024-08-26,04:18:00,4.3
CA-146 Cadastro de AD (Active Directory),2024-08-23,01:00:00,1.0
CA-146 Cadastro de AD (Active Directory),2024-08-22,01:00:00,1.0
CA-146 Cadastro de AD (Active Directory),2024-08-20,00:15:00,0.25
CA-147 Cadastro de situações de funcionários,2024-08-26,01:15:00,1.25
CA-147 Cadastro de situações de funcionários,2024-08-26,01:00:00,1.0
CA-148 Cadastro de usuário não modificar,2024-08-27,04:30:00,4.5
CA-149 Cadastro de grupos por usuário,2024-08-28,01:20:00,1.33
CA-149 Cadastro de grupos por usuário,2024-08-27,00:45:00,0.75
CA-150 Cadastro de grupos por OU,2024-08-28,02:00:00,2.0
CA-150 Cadastro de grupos por OU,2024-08-27,00:45:00,0.75
CA-147 Cadastro de situações de funcionários,2024-08-26,01:00:00,1.0
CA-147 Cadastro de situações de funcionários,2024-08-26,01:00:00,1.0
CA-149 Cadastro de grupos por usuário,2024-08-28,00:42:00,0.7
CA-149 Cadastro de grupos por usuário,2024-08-28,00:30:00,0.5
CA-148 Cadastro de usuário não modificar,2024-08-27,02:30:00,2.5
CA-148 Cadastro de usuário não modificar,2024-08-27,01:40:00,1.67
CA-150 Cadastro de grupos por OU,2024-08-29,00:30:00,0.5
CA-146 Cadastro de AD (Active Directory),2024-08-22,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-23,00:40:00,0.67
MKP-1962 Gestão Financeira - UI/UX,2024-09-23,00:20:00,0.33
MKP-1962 Gestão Financeira - UI/UX,2024-09-23,00:40:00,0.67
MKP-1962 Gestão Financeira - UI/UX,2024-09-20,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-19,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-18,00:30:00,0.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-18,02:30:00,2.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-18,00:30:00,0.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-17,00:50:00,0.83
MKP-1962 Gestão Financeira - UI/UX,2024-09-17,03:15:00,3.25
MKP-1962 Gestão Financeira - UI/UX,2024-09-16,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-16,02:00:00,2.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-16,00:30:00,0.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-13,03:30:00,3.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-12,00:45:00,0.75
MKP-1962 Gestão Financeira - UI/UX,2024-09-12,00:40:00,0.67
MKP-1962 Gestão Financeira - UI/UX,2024-09-12,03:00:00,3.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-11,01:30:00,1.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-11,01:30:00,1.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-11,01:30:00,1.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-10,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-10,02:30:00,2.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-09,02:50:00,2.83
MKP-1962 Gestão Financeira - UI/UX,2024-09-09,00:45:00,0.75
MKP-1962 Gestão Financeira - UI/UX,2024-09-06,03:45:00,3.75
MKP-1962 Gestão Financeira - UI/UX,2024-09-05,01:30:00,1.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-04,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-04,00:40:00,0.67
MKP-1962 Gestão Financeira - UI/UX,2024-09-02,00:30:00,0.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-02,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-23,00:40:00,0.67
MKP-1962 Gestão Financeira - UI/UX,2024-09-19,00:46:00,0.77
MKP-1962 Gestão Financeira - UI/UX,2024-09-19,01:00:00,1.0
MKP-1962 Gestão Financeira - UI/UX,2024-09-18,00:30:00,0.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-18,01:30:00,1.5
MKP-1962 Gestão Financeira - UI/UX,2024-09-13,03:20:00,3.33
MKP-1962 Gestão Financeira - UI/UX,2024-09-12,02:20:00,2.33
MKP-1962 Gestão Financeira - UI/UX,2024-09-06,01:15:00,1.25
MKP-1962 Gestão Financeira - UI/UX,2024-09-04,01:00:00,1.0
EC-6351 - [Livelo] Badge nas telas de favoritos e buscas / apresentação em lista mobile,2024-09-18,01:00:00,1.0
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-19,01:00:00,1.0
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-19,03:00:00,3.0
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-18,01:00:00,1.0
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-18,00:15:00,0.25
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-17,00:30:00,0.5
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-19,00:33:00,0.55
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-19,00:57:00,0.95
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-18,02:00:00,2.0
MKP-2004 Design - Ajustes de Tela Tuia,2024-09-18,00:15:00,0.25
EC-6351 - [Livelo] Badge nas telas de favoritos e buscas / apresentação em lista mobile,2024-09-18,01:00:00,1.0
MKP-2012 UI/UX - Contingência de Frete,2024-09-24,01:30:00,1.5
MKP-2012 UI/UX - Contingência de Frete,2024-09-23,01:30:00,1.5
EC-6393 Melhoria na apresentação do resumo do pedido,2024-10-03,00:35:00,0.58
EC-6393 Melhoria na apresentação do resumo do pedido,2024-10-02,01:15:00,1.25
EC-6393 Melhoria na apresentação do resumo do pedido,2024-10-02,00:30:00,0.5
EC-6393 Melhoria na apresentação do resumo do pedido,2024-10-01,00:30:00,0.5
EC-6393 Melhoria na apresentação do resumo do pedido,2024-09-30,00:30:00,0.5
EC-6393 Melhoria na apresentação do resumo do pedido,2024-09-30,00:40:00,0.67
EC-6411 Aplicação de juros nas telas do Smart delivery,2024-10-04,00:45:00,0.75
